prot_id,LFQ intensity 1,LFQ intensity 2,LFQ intensity 3,LFQ intensity 4,LFQ intensity 5,LFQ intensity 6,LFQ intensity 7,LFQ intensity 8,LFQ intensity 9,LFQ intensity 10,LFQ intensity 11,LFQ intensity 12,LFQ intensity 13,LFQ intensity 14,LFQ intensity 15,LFQ intensity 16,LFQ intensity 17,LFQ intensity 18,LFQ intensity 19,LFQ intensity 20,LFQ intensity 21,LFQ intensity 22,LFQ intensity 23,LFQ intensity 24,LFQ intensity 25,LFQ intensity 26,LFQ intensity 27,desc,valid_points,max,mw,clusters
Tb927.5.4450,0,0,0,0,0,4658900,4575900,5553400,0,7003600,5333000,5609400,6283500,4771900,4416500,4385400,3928300,3539800,0,4758900,3234100,3565800,0,0,0,0,0,"hypothetical protein, conserved",15,10,18.602999999999998,168
Tb927.5.4460,4211400,37691000,83914000,513120000,1423600000,1077500000,264910000,118740000,67398000,44037000,25502000,22562000,14553000,9912600,4478100,0,0,0,0,0,0,0,0,0,0,0,0,"major vault protein, putative",15,5,94.102,451
Tb927.5.4480,25957000,85966000,46876000,55054000,20758000,43214000,48467000,19776000,17327000,14014000,9294900,10957000,8787900,2370100,2447900,0,0,0,0,0,0,0,0,0,0,0,0,"paraflagellar rod component par4, putative",15,2,68.313,209
Tb927.5.4380,27971000,40464000,36175000,34150000,31706000,42588000,42795000,50222000,57739000,68002000,76755000,70724000,75928000,77360000,83423000,69807000,49057000,55421000,71955000,57746000,28345000,10763000,0,0,0,0,0,"kinetoplastid-specific phospho-protein phosphatase, putative",22,15,71.37,159
Tb927.5.4410,6948100,11059000,9338000,15650000,15942000,15859000,15501000,12740000,5415300,4718600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"hypothetical protein, conserved",10,5,23.593000000000004,530
Tb927.5.4420,22840000,141600000,213240000,248300000,262570000,397750000,430070000,393430000,305460000,284110000,179500000,111470000,102780000,53909000,47817000,41066000,31467000,35102000,47004000,22059000,13232000,4089400,0,0,0,0,0,"nucleolar RNA helicase II, putative",22,7,68.786,505
Tb06.3A7.270,0,0,0,0,0,3204700,3054300,3525800,6254700,6692900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"hypothetical protein, conserved",5,10,123.84,293
Tb927.7.2140,0,23249000,37740000,45324000,54107000,55680000,49580000,38059000,26320000,15889000,17879000,12403000,9005400,23456000,12430000,22000000,10819000,10504000,0,0,0,0,0,0,0,0,0,"zinc finger protein family member, putative",17,6,40.864000000000004,539
Tb927.9.15660,0,0,0,0,0,0,0,7254900,0,14381000,10632000,7364000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,procyclic-enriched flagellar receptor adenylate cyclase 6,4,10,137.52,76
Tb09.v4.0067,50155000,107850000,90741000,100140000,106130000,98709000,27645000,29455000,38022000,62108000,36836000,32398000,47771000,32308000,47362000,57762000,0,52374000,67745000,20342000,12957000,15113000,0,0,0,0,0,"retrotransposon hot spot protein, pseudogene",21,2,62.718,347
Tb927.10.4430,30569000,43364000,41439000,56299000,40949000,33044000,32300000,34914000,28250000,44386000,45890000,31656000,39636000,43180000,38858000,38617000,26655000,22302000,20246000,11307000,7324800,5542000,0,0,0,0,0,pumillo RNA binding protein PUF1,22,4,63.851000000000006,141
Tb927.10.4470,0,0,0,0,0,0,4003400,5206100,4555900,0,6019000,6564000,5097400,5778600,4055400,4120600,2508000,0,0,0,0,0,0,0,0,0,0,"hypothetical protein, conserved",10,12,115.54,43
Tb10.v4.0052,2816400000,3775100000,3144600000,5943500000,5779000000,6243700000,7259300000,10101000000,10791000000,9591000000,5961700000,3256000000,2252800000,1690800000,1403800000,1192000000,1051300000,833540000,313050000,506920000,516130000,440980000,354020000,653180000,370480000,436390000,302790000,microtubule-associated protein 2,27,9,561.21,503
Tb927.11.7214,0,0,8424900,10357000,16742000,25403000,9626600,0,6817300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"hypothetical protein, conserved",6,6,63.574,494
Tb927.11.7218,0,0,4466200,4534000,6818700,6579400,3367900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mitochondrial edited mRNA stability factor 1 subunit,5,5,104.09,445
Tb11.02.5380b,0,0,0,0,0,0,4145900,6410700,8049900,14863000,21939000,48799000,37474000,57866000,88842000,75681000,114510000,70509000,44187000,15717000,0,0,0,0,0,0,0,"exosome complex exonuclease RRP44p homologue, putative",14,17,108.88,93
Tb11.02.5390b,16938000,21595000,27235000,17897000,23717000,61926000,56377000,68391000,54285000,50799000,41808000,27847000,16630000,15136000,13371000,9456200,6821500,0,0,0,0,0,0,0,0,0,0,"mRNA processing protein, putative",17,8,120.71,505
Tb11.02.5400b,0,15361000,14456000,20069000,12752000,17431000,24317000,20598000,36664000,30043000,100680000,146190000,156320000,197330000,258680000,387550000,317090000,581430000,554910000,315570000,406740000,267690000,58259000,0,0,0,0,"cystathionine beta-synthase, putative",22,18,39.464,116
Tb11.02.5430b,0,0,0,0,0,0,4911600,5206200,23379000,11753000,26863000,20788000,11960000,3225600,1448700,0,0,0,0,0,0,0,0,0,0,0,0,"hypothetical protein, conserved",9,11,44.407,91
Tb927.6.4980,550400000,471380000,744720000,773120000,669980000,521780000,430150000,513660000,337850000,554530000,360100000,284440000,370480000,382870000,412120000,324210000,312890000,358730000,395790000,272270000,297590000,312380000,177640000,146920000,339130000,172170000,387840000,40S ribosomal protein S14,27,4,15.513,378
Tb927.11.7690,0,0,0,6763500,6654700,8189200,4403700,4405400,5713100,5976700,8817800,7817200,10127000,10563000,2946600,0,6064300,4944300,0,0,0,0,0,0,0,0,0,hypothetical protein,14,14,104.87,412
Tb927.10.1140,0,0,0,0,0,0,10936000,0,0,7256500,0,6070900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,epsilon tubulin,3,7,53.167,302
Tb927.11.715,69700000,9952000,14113000,14276000,9867600,14746000,20834000,19971000,17574000,15641000,17461000,15982000,14095000,13732000,12394000,11010000,13363000,11443000,11016000,23847000,17685000,13201000,0,0,0,0,0,"dynein light chain LC8, putative",22,1,10.429,259
Tb11.0890,22118000,38874000,47582000,35000000,21053000,16272000,16581000,19439000,19755000,27066000,19566000,16756000,17861000,13543000,12983000,12210000,10185000,11727000,10934000,26714000,20417000,20252000,0,0,0,0,0,"epsin, putative",22,3,53.965,352
Tb11.v5.0996,128940000,283440000,204690000,237990000,217810000,200210000,174780000,137070000,112580000,73938000,55030000,42772000,20807000,21318000,24349000,16987000,22861000,0,0,0,0,0,0,0,0,0,0,"hypothetical protein, conserved",17,2,57.799,240
Tb927.11.1840,170270000,304110000,319740000,391770000,507190000,969140000,1049600000,1221700000,821610000,675070000,262420000,113370000,69255000,42043000,37818000,16184000,18684000,10901000,21193000,13333000,16755000,22020000,1109300,0,0,0,0,"hypothetical protein, conserved",23,8,45.633,501
Tb11.1390.1-p1,0,0,0,27229000,0,0,0,0,0,0,0,0,0,0,6922200,6925000,6781800,14791000,12842000,23858000,23388000,10799000,0,0,0,0,0,"hypothetical protein, conserved",9,4,62.07,117
Tb11.1780.1-p1,7416100,12054000,15795000,46425000,36101000,41186000,70907000,67443000,49384000,40704000,37311000,24036000,32156000,33008000,28900000,23406000,26707000,13038000,10707000,20828000,25262000,0,0,0,0,0,0,"retrotransposon hot spot protein 1 (RHS1, pseudogene), putative",21,7,65.556,404
Tb11.1790.1-p1,0,0,0,13432000,0,0,0,0,0,50597000,0,41649000,50229000,35937000,45116000,53059000,46317000,49720000,24867000,15928000,0,0,0,0,0,0,0,"retrotransposon hot spot protein (RHS, pseudogene), putative",11,16,77.705,25
Tb927.7.4810,0,0,0,3062300,3208400,7049900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HD domain containing protein, putative",3,6,52.176,494
Tb927.7.4860,0,2968800,2454800,2873300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kinetoplastid kinetochore protein 13,3,2,36.991,246
Tb927.7.4890,68480000,31175000,27191000,50536000,18405000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Present in the outer mitochondrial membrane proteome 34,5,1,92.655,256
Tb927.7.4900,19455000,63914000,49555000,108320000,85371000,90901000,121110000,187230000,172860000,182430000,298570000,313480000,276430000,246470000,184810000,90583000,40551000,6954000,0,0,0,0,0,0,0,0,0,5-3 exoribonuclease A,18,12,158.67,13
Tb927.7.4910,73795000,60693000,25057000,64929000,23384000,4812800,0,0,0,0,0,0,6627800,9298700,6495400,5745700,6918200,6701900,0,0,0,0,0,0,0,0,0,"hypothetical protein, conserved",12,1,40.483000000000004,256
